symbol,date,close,high,low,open,volume,adjClose,Return,rebased_to_100,peak,drawdown_1,Log_Return,log_rel_return,Ticker
NVDA,2021-12-31,294.11,300.3,293.3057,296.74,26347792,29.3618105464,,100.0,100.0,0.0,,,NVDA
NVDA,2022-01-03,301.21,307.11,297.85,298.15,39240294,30.0706230821,2.4140627655999998,102.4140627656,102.4140627656,0.0,0.023853848900000002,0.026625599700000002,NVDA
NVDA,2022-01-04,292.9,304.68,283.49,302.77,52715440,29.2410129171,-2.7588725473,99.5885893034,102.4140627656,-0.0275887255,-0.027976442100000002,-0.025204691300000002,NVDA
NVDA,2022-01-05,276.04,294.16,275.33,289.49,49806388,27.5578327266,-5.7562307957000005,93.856040257,102.4140627656,-0.0835629627,-0.0592854711,-0.0565137203,NVDA
NVDA,2022-01-06,281.78,284.3799,270.65,276.4,45418637,28.1308727203,2.0794087815,95.807691,102.4140627656,-0.0645064905,0.0205808419,0.0233525927,NVDA
NVDA,2022-01-07,272.47,284.22,270.57,281.41,40993851,27.2014298037,-3.3039960254,92.6422086973,102.4140627656,-0.0954151589,-0.0335981083,-0.030826357500000002,NVDA
NVDA,2022-01-10,274.0,274.69,256.4384,265.81,59468095,27.3541739135,0.5615297097,93.1624222228,102.4140627656,-0.09033564620000001,0.0055995901,0.0083713409,NVDA
NVDA,2022-01-11,278.17,280.65,268.39,273.225,40276508,27.7704764873,1.5218978102,94.5802590866,102.4140627656,-0.07649148430000001,0.015104331200000001,0.017876082,NVDA
NVDA,2022-01-12,279.99,285.95,276.08,280.665,38341348,27.9521720951,0.6542761623000001,95.199075176,102.4140627656,-0.0704491883,0.0065214507000000005,0.009293201400000001,NVDA
NVDA,2022-01-13,265.75,284.8,264.98,283.79,53886809,26.5305537136,-5.0858959249,90.3573492911,102.4140627656,-0.11772517510000001,-0.052197871,-0.0494261202,NVDA
NVDA,2022-01-14,269.42,271.969,262.1001,263.0,39583235,26.8969399116,1.3809971777,91.6051817346,102.4140627656,-0.1055409847,0.013715483,0.0164872338,NVDA
NVDA,2022-01-18,259.03,266.38,257.7,262.6,42267538,25.8596776234,-3.8564323362,88.0724898846,102.4140627656,-0.1400351914,-0.0393276152,-0.0365558644,NVDA
NVDA,2022-01-19,250.67,265.4317,250.52,260.79,48360408,25.0250758208,-3.2274253947,85.2300159803,102.4140627656,-0.167789914,-0.032806552,-0.0300348013,NVDA
NVDA,2022-01-20,241.5,255.7904,240.78,253.04,43518073,24.1096094895,-3.6581960345,82.1121349155,102.4140627656,-0.1982337904,-0.03726786,-0.0344961092,NVDA
NVDA,2022-01-21,233.74,248.23,232.63,235.07,71895784,23.3349073378,-3.2132505175,79.4736663154,102.4140627656,-0.22399654730000002,-0.0326600866,-0.029888335800000002,NVDA
NVDA,2022-01-24,233.72,233.8,208.88,223.3,91581063,23.3329106827,-0.0085565161,79.4668661383,102.4140627656,-0.22406294610000002,-8.55688e-05,0.002686182,NVDA
NVDA,2022-01-25,223.24,229.43,220.0,225.46,66461636,22.2866634469,-4.4839979462,75.9035734928,102.4140627656,-0.25885594770000003,-0.0458763918,-0.043104641000000006,NVDA
NVDA,2022-01-26,227.72,240.57,223.0,232.4,75595873,22.7339141737,2.0068088158,77.4268130971,102.4140627656,-0.2439826035,0.0198693782,0.0226411289,NVDA
NVDA,2022-01-27,219.44,239.95,216.75,235.68,57335272,21.9072989912,-3.6360442648999998,74.6115399,102.4140627656,-0.2714717307,-0.0370379575,-0.0342662067,NVDA
NVDA,2022-01-28,228.4,228.58,212.96,220.1215,54377425,22.8018004447,4.0831206707,77.6580191084,102.4140627656,-0.2417250423,0.0400196312,0.0427913819,NVDA
NVDA,2022-01-31,244.86,245.09,230.52,231.82,56467968,24.4450475346,7.2066549915,83.2545646188,102.4140627656,-0.18707878220000002,0.0695881409,0.0723598916,NVDA
NVDA,2022-02-01,246.38,251.45,238.9001,251.04,51892517,24.5967933169,0.6207628849,83.771378056,102.4140627656,-0.182032469,0.006188440900000001,0.0089601917,NVDA
NVDA,2022-02-02,252.42,258.17,245.5301,257.94,54341941,25.199783136,2.4514976864,85.8250314509,102.4140627656,-0.1619800139,0.0242193073,0.0269910581,NVDA
NVDA,2022-02-03,239.48,250.77,237.8,244.58,41017778,23.9079473314,-5.1263766741,81.4253170581,102.4140627656,-0.204940075,-0.0526244608,-0.04985271,NVDA
NVDA,2022-02-04,243.19,246.35,236.32,239.72,35482850,24.2783268395,1.5491899115,82.6867498553,102.4140627656,-0.19262308690000002,0.0153731248,0.018144875600000002,NVDA
NVDA,2022-02-07,247.28,251.82,242.02,243.72,37686750,24.6866427932,1.6818125745999999,84.077386012,102.4140627656,-0.17904452040000002,0.016678267,0.0194500178,NVDA
NVDA,2022-02-08,251.08,252.3,239.8,243.59,41035864,25.0660072489,1.5367195081,85.3694196047,102.4140627656,-0.1664287374,0.0152503156,0.0180220664,NVDA
NVDA,2022-02-09,267.05,267.25,253.53,256.22,52428166,26.6603362905,6.3605225426,90.7993607832,102.4140627656,-0.11340924940000001,0.0616642933,0.0644360441,NVDA
NVDA,2022-02-10,258.24,269.2499,256.0,259.95,51319972,25.7808097498,-3.2990076761,87.8038829011,102.4140627656,-0.1426579463,-0.0335465217,-0.0307747709,NVDA
NVDA,2022-02-11,239.49,261.52,237.73,259.16,60547198,23.908945659,-7.2606877323,81.4287171468,102.4140627656,-0.2049068756,-0.0753777228,-0.072605972,NVDA
NVDA,2022-02-14,242.67,248.75,237.55,239.34,44042443,24.2264138088,1.3278216209,82.5099452587,102.4140627656,-0.19434945720000002,0.013190833400000001,0.0159625842,NVDA
NVDA,2022-02-15,264.95,265.45,247.84,249.49,70175280,26.4506875124,9.1811925659,90.0853422189,102.4140627656,-0.12038112940000001,0.0878386332,0.090610384,NVDA
NVDA,2022-02-16,265.11,265.82,255.52,262.59,73267633,26.4666607526,0.0603887524,90.1397436332,102.4140627656,-0.11984993860000001,0.0006037053000000001,0.003375456,NVDA
NVDA,2022-02-17,245.07,257.85,241.65,256.3,81059508,24.4660124124,-7.5591264002,83.3259664752,102.4140627656,-0.1863815942,-0.0786009502,-0.0758291994,NVDA
NVDA,2022-02-18,236.42,249.86,231.0,246.675,76125491,23.602459111800002,-3.5296037869,80.384890007,102.4140627656,-0.2150991003,-0.035933999700000004,-0.0331622489,NVDA
NVDA,2022-02-22,233.9,240.6399,230.0,230.35,62919566,23.350880578,-1.0658996701,79.5280677297,102.4140627656,-0.2234653564,-0.010716210700000001,-0.0079444599,NVDA
NVDA,2022-02-23,223.87,241.5499,223.01,238.02,56651077,22.3495580804,-4.288157332,76.1177790623,102.4140627656,-0.2567643837,-0.0438281473,-0.0410563966,NVDA
NVDA,2022-02-24,237.48,238.0,208.9,210.15,73580063,23.7082818284,6.0794210924,80.7452993777,102.4140627656,-0.2115799608,0.0590178832,0.0617896339,NVDA
